comparison,dataset,metric,reference_value,current_value,delta,notes
reference_vs_current,fva_daily::entregas_sge::h20,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h21,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h21,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h21,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h21,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h22,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h22,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h22,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h22,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h23,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h23,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h23,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h23,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h24,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h24,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h24,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h24,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h25,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h25,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h25,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h25,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h26,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h26,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h26,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h26,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h27,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h27,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h27,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h27,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h28,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h28,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h28,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h28,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h1,mae,13.5,13.5,0.0,
reference_vs_current,fva_daily::entregas_sgp::h1,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h1,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h1,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h2,mae,15.0,15.0,0.0,
reference_vs_current,fva_daily::entregas_sgp::h2,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h2,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h2,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h3,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sgp::h3,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h3,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h3,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h4,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sgp::h4,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h4,bias,,,,
