comparison,dataset,metric,reference_value,current_value,delta,notes
reference_vs_current,maestro,missing_columns_in_current_count,0,0,0.0,
reference_vs_current,maestro,new_columns_in_current_count,0,0,0.0,
reference_vs_current,maestro,canonical_present::alto,1,1,0.0,
reference_vs_current,maestro,null_rate::alto,0.0,0.0,0.0,
reference_vs_current,maestro,canonical_present::ancho,1,1,0.0,
reference_vs_current,maestro,null_rate::ancho,0.0,0.0,0.0,
reference_vs_current,maestro,canonical_present::categoria,1,1,0.0,
reference_vs_current,maestro,null_rate::categoria,0.0,0.0,0.0,
reference_vs_current,maestro,canonical_present::codigo,1,1,0.0,
reference_vs_current,maestro,null_rate::codigo,0.0,0.0,0.0,
reference_vs_current,maestro,canonical_present::creacion,1,1,0.0,
reference_vs_current,maestro,null_rate::creacion,0.0,0.0,0.0,
reference_vs_current,maestro,canonical_present::kilos,1,1,0.0,
reference_vs_current,maestro,null_rate::kilos,5.8154749789189035e-05,5.8154749789189035e-05,0.0,
reference_vs_current,maestro,canonical_present::largo,1,1,0.0,
reference_vs_current,maestro,null_rate::largo,0.0,0.0,0.0,
reference_vs_current,maestro,canonical_present::m2,1,1,0.0,
reference_vs_current,maestro,null_rate::m2,0.0,0.0,0.0,
reference_vs_current,maestro,canonical_present::m3,1,1,0.0,
reference_vs_current,maestro,null_rate::m3,0.0,0.0,0.0,
reference_vs_current,maestro,canonical_present::nombre,1,1,0.0,
reference_vs_current,maestro,null_rate::nombre,0.0,0.0,0.0,
reference_vs_current,maestro,dtype_changes_count,0,0,0.0,
movimientos_mal_vs_reference,movimientos,rows,291125,291125,0.0,
movimientos_mal_vs_reference,movimientos,columns,38,38,0.0,
movimientos_mal_vs_reference,movimientos,cantidad_non_null_pct,0.779359381708888,0.779359381708888,0.0,
movimientos_mal_vs_reference,movimientos,fecha_finalizacion_non_null_pct,0.9716376127093173,0.9716376127093173,0.0,
movimientos_mal_vs_current,movimientos,rows,291402,291125,-277.0,
movimientos_mal_vs_current,movimientos,columns,21,38,17.0,
movimientos_mal_vs_current,movimientos,cantidad_non_null_pct,0.7794146917316971,0.779359381708888,-5.5310022809118564e-05,
movimientos_mal_vs_current,movimientos,fecha_finalizacion_non_null_pct,0.9716645733385495,0.9716376127093173,-2.6960629232242184e-05,
reference_vs_current,movimientos,tipo_movimiento_distribution_json,"{""PI"": 66302, ""EP"": 64945, ""CR"": 43166, ""CC"": 28447, ""DC"": 27502, ""RM"": 11895, ""SI"": 9084, ""CL"": 8729, ""NaN"": 8257, ""SP"": 3922, ""EC"": 3091, ""SC"": 3091, ""NP"": 2644, ""DP"": 2644, ""EF"": 2053}","{""PI"": 66395, ""EP"": 65023, ""CR"": 43187, ""CC"": 28470, ""DC"": 27524, ""RM"": 11898, ""SI"": 9084, ""CL"": 8744, ""NaN"": 8257, ""SP"": 3923, ""EC"": 3091, ""SC"": 3091, ""NP"": 2644, ""DP"": 2644, ""EF"": 2059}",,
movimientos_mal_vs_reference,movimientos,tipo_movimiento_distribution_json,"{""PI"": 66302, ""EP"": 64945, ""CR"": 43166, ""CC"": 28447, ""DC"": 27502, ""RM"": 11895, ""SI"": 9084, ""CL"": 8729, ""NaN"": 8257, ""SP"": 3922, ""EC"": 3091, ""SC"": 3091, ""NP"": 2644, ""DP"": 2644, ""EF"": 2053}","{""PI"": 66302, ""EP"": 64945, ""CR"": 43166, ""CC"": 28447, ""DC"": 27502, ""RM"": 11895, ""SI"": 9084, ""CL"": 8729, ""NaN"": 8257, ""SP"": 3922, ""EC"": 3091, ""SC"": 3091, ""NP"": 2644, ""DP"": 2644, ""EF"": 2053}",,
movimientos_mal_vs_current,movimientos,tipo_movimiento_distribution_json,"{""PI"": 66395, ""EP"": 65023, ""CR"": 43187, ""CC"": 28470, ""DC"": 27524, ""RM"": 11898, ""SI"": 9084, ""CL"": 8744, ""NaN"": 8257, ""SP"": 3923, ""EC"": 3091, ""SC"": 3091, ""NP"": 2644, ""DP"": 2644, ""EF"": 2059}","{""PI"": 66302, ""EP"": 64945, ""CR"": 43166, ""CC"": 28447, ""DC"": 27502, ""RM"": 11895, ""SI"": 9084, ""CL"": 8729, ""NaN"": 8257, ""SP"": 3922, ""EC"": 3091, ""SC"": 3091, ""NP"": 2644, ""DP"": 2644, ""EF"": 2053}",,
reference_vs_current,joins,coverage_pct::movimientos_albaranes_global,0.3165444396736797,0.3162435398521629,-0.00030089982151676464,
reference_vs_current,joins,coverage_pct::solicitudes_albaranes_global,0.9775073746312684,0.9775528978840846,4.5523252816259685e-05,
reference_vs_current,joins,coverage_pct::movimientos_maestro_global,0.7302258480034349,0.7303038414286793,7.799342524439368e-05,
reference_vs_current,joins,coverage_pct::solicitudes_maestro_global,0.9937315634218288,0.9937442502299908,1.2686808162021279e-05,
